# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
135000 6.40992 728979 40.2535 27.7101 653.543 -105174 53466.6 -4.29086 26.0795 -2.5589
136000 -3.68825 728257 40.2267 27.7182 653.138 -105335 53434.4 9.15548 -6.10571 -14.1145
137000 -14.1753 728432 40.2423 27.7184 653.039 -105221 53489.7 -5.49887 -18.7878 -18.2392
138000 18.9796 728745 40.2327 27.7472 652.797 -105169 53496.1 15.8661 24.5759 16.4969
139000 -24.0907 730279 40.2263 27.8301 652.326 -105113 53426 -8.58117 -45.7916 -17.8994
140000 21.9727 729380 40.2531 27.7598 652.737 -105083 53481.8 6.34926 15.758 43.8107
141000 -3.48157 728934 40.1628 27.7935 653.013 -105082 53427.8 -8.01091 16.1166 -18.5504
142000 5.97687 728691 40.1227 27.8201 652.821 -105145 53475.4 30.0493 -3.22314 -8.89553
143000 -0.632709 728045 40.1583 27.7561 653.167 -105248 53381.9 -0.63167 11.6611 -12.9276
144000 0.565895 728980 40.2745 27.7159 653.066 -105154 53499 -8.16516 8.817 1.04585
145000 9.34351 728986 40.2654 27.7218 653.081 -105238 53472.2 17.2094 -1.6384 12.4596
146000 10.1052 728786 40.2225 27.7527 652.869 -105307 53417.1 20.3732 18.6429 -8.70047
147000 -18.7695 730229 40.2766 27.7984 652.208 -105058 53484.7 -11.4155 -33.7909 -11.1022
148000 -1.02096 729159 40.2931 27.725 652.71 -105308 53372 -14.328 1.7373 9.52788
149000 1.17548 727854 40.2096 27.7497 652.312 -105349 53423.8 -1.94907 -7.52057 12.9961
150000 1.5449 728337 40.343 27.6661 652.553 -105265 53442.6 -12.8756 30.9503 -13.44
151000 8.4085 728117 40.2706 27.6896 652.974 -105200 53493.1 23.7189 -6.93584 8.44241
152000 3.99391 729413 40.3104 27.722 652.727 -105128 53464.2 7.31855 -6.4578 11.121
153000 2.9004 728665 40.2714 27.7269 652.574 -105202 53460.4 13.6736 -14.5831 9.61065
154000 -0.594475 728369 40.2727 27.6965 653.005 -105221 53364.7 -22.82 21.196 -0.159409
155000 -4.03899 729408 40.248 27.7238 653.694 -105206 53471.4 4.90604 -9.44434 -7.57867
156000 -2.66842 729420 40.2247 27.7761 652.851 -105277 53386.6 -12.6938 -15.1505 19.8391
157000 9.18058 728264 40.1147 27.796 653.135 -105130 53473.1 17.5067 14.9978 -4.96279
158000 -2.22472 729216 40.1923 27.7685 653.372 -105090 53510.6 -10.4547 3.72958 0.0509735
159000 -5.66533 728766 40.2121 27.7451 653.199 -105148 53468.9 -19.4226 5.71509 -3.28847
160000 9.6423 728424 40.2019 27.7367 653.256 -105410 53392 29.0394 -1.35037 1.23793
161000 0.3026 728050 40.2963 27.6664 653.046 -105230 53511 -8.02156 1.32912 7.60024
162000 -14.4136 728177 40.3424 27.6208 653.49 -105253 53442.5 -37.9464 12.7183 -18.0126
163000 11.0362 727809 40.308 27.6472 653.096 -105308 53375.2 -3.57464 27.3004 9.38293
164000 0.201077 727463 40.2131 27.6944 653.209 -105340 53417.6 20.5265 -20.6634 0.740056
165000 3.11499 727906 40.3302 27.6099 653.702 -105339 53439.3 -16.7004 33.3594 -7.31396
166000 -3.81564 728455 40.2905 27.6766 653.262 -105132 53461 11.6803 -22.0846 -1.04264
167000 -2.07159 729203 40.383 27.6386 653.333 -105101 53387.7 -5.48591 -10.2476 9.51872
168000 8.71603 728280 40.3359 27.631 653.448 -105326 53370.9 -9.58002 23.387 12.3411
169000 -6.95828 729864 40.3089 27.735 652.851 -105286 53408.5 6.9612 -30.0514 2.21537
170000 12.7881 728931 40.3573 27.659 653.021 -105324 53477.2 11.2156 33.7319 -6.58328
171000 -7.60507 729481 40.3721 27.672 652.968 -105224 53449.6 -11.0402 -18.799 7.02404
172000 -0.831162 729214 40.4042 27.6254 653.311 -105369 53412.5 -18.2271 14.0252 1.7084
173000 0.234834 729075 40.3175 27.6673 653.6 -105045 53492 5.33165 -0.188417 -4.43873
