# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
139000 -625.969 730228 39.97 26.95 677.9 -106023 53403.1 -30.2724 106.466 -1954.1
140000 -710.884 730228 39.97 26.95 677.9 -105977 53460.7 -98.7021 -43.7375 -1990.21
141000 -620.139 730228 39.97 26.95 677.9 -106108 53324.8 -73.8448 135.88 -1922.45
142000 -536.061 730228 39.97 26.95 677.9 -105931 53397 43.8385 115.899 -1767.92
143000 -643.563 730228 39.97 26.95 677.9 -105954 53502.3 -54.2832 99.2347 -1975.64
144000 -687.219 730228 39.97 26.95 677.9 -105806 53472.4 -59.3504 29.4522 -2031.76
145000 -654.277 730228 39.97 26.95 677.9 -106005 53344.7 -39.1392 91.0725 -2014.76
146000 -658.892 730228 39.97 26.95 677.9 -105863 53443.6 -50.1888 28.2742 -1954.76
147000 -581.254 730228 39.97 26.95 677.9 -105831 53495.6 47.4649 147.444 -1938.67
148000 -664.292 730228 39.97 26.95 677.9 -105863 53439.9 -24.7573 10.9293 -1979.05
149000 -640.769 730228 39.97 26.95 677.9 -105892 53390.5 -12.0401 25.9459 -1936.21
150000 -559.305 730228 39.97 26.95 677.9 -105814 53625.3 29.9259 119.304 -1827.15
151000 -555.813 730228 39.97 26.95 677.9 -106007 53444.2 154.241 63.0964 -1884.78
152000 -613.306 730228 39.97 26.95 677.9 -106020 53410.3 -3.77876 105.348 -1941.49
153000 -670.862 730228 39.97 26.95 677.9 -106015 53344.7 -12.7455 -12.1503 -1987.69
154000 -591.41 730228 39.97 26.95 677.9 -105770 53455.1 28.583 130.899 -1933.71
155000 -633.418 730228 39.97 26.95 677.9 -105862 53511.3 -9.9204 71.9687 -1962.3
156000 -617.527 730228 39.97 26.95 677.9 -106176 53352.3 -58.6273 106.377 -1900.33
157000 -610.884 730228 39.97 26.95 677.9 -105951 53451.7 -30.8543 87.3598 -1889.16
158000 -534.468 730228 39.97 26.95 677.9 -105978 53470.2 75.5379 128.837 -1807.78
159000 -589.487 730228 39.97 26.95 677.9 -105860 53615.3 13.8169 102.857 -1885.13
160000 -602.298 730228 39.97 26.95 677.9 -106174 53393.9 56.5052 56.5454 -1919.94
161000 -662.023 730228 39.97 26.95 677.9 -105836 53565.3 26.0142 -40.924 -1971.16
162000 -527.319 730228 39.97 26.95 677.9 -106252 53393 172.739 142.243 -1896.94
163000 -544.749 730228 39.97 26.95 677.9 -106007 53545 132.634 102.643 -1869.52
164000 -598.355 730228 39.97 26.95 677.9 -106198 53444.3 12.6542 -25.2632 -1782.46
165000 -550.07 730228 39.97 26.95 677.9 -106228 53450.6 62.9369 116.044 -1829.19
166000 -612.331 730228 39.97 26.95 677.9 -106087 53441.1 16.4378 16.5474 -1869.98
167000 -606.073 730228 39.97 26.95 677.9 -106190 53445.8 -20.4006 79.522 -1877.34
168000 -662.19 730228 39.97 26.95 677.9 -106051 53432.1 -29.0131 -14.2882 -1943.27
169000 -508.668 730228 39.97 26.95 677.9 -105980 53489.9 113.89 188.129 -1828.02
170000 -554.566 730228 39.97 26.95 677.9 -106127 53367.1 55.4947 92.2196 -1811.41
171000 -668.886 730228 39.97 26.95 677.9 -106104 53348.6 -45.9916 -42.407 -1918.26
172000 -645.178 730228 39.97 26.95 677.9 -106035 53441.3 -67.1773 -33.6359 -1834.72
173000 -686.074 730228 39.97 26.95 677.9 -106089 53426 -125.009 -89.4832 -1843.73
174000 -623.705 730228 39.97 26.95 677.9 -106039 53412.3 -73.6853 -1.97808 -1795.45
175000 -612.332 730228 39.97 26.95 677.9 -106169 53445.8 -60.3929 10.664 -1787.27
176000 -674.582 730228 39.97 26.95 677.9 -105980 53389.9 -80.9639 -54.3286 -1888.45
177000 -643.252 730228 39.97 26.95 677.9 -105995 53468.4 -103.328 38.3346 -1864.76
178000 -637.296 730228 39.97 26.95 677.9 -105907 53477.1 -80.2009 94.5706 -1926.26
179000 -721.454 730228 39.97 26.95 677.9 -105784 53519.9 -129.277 -6.29931 -2028.79
180000 -705.62 730228 39.97 26.95 677.9 -105956 53495.4 -76.5914 -92.5003 -1947.77
181000 -697.484 730228 39.97 26.95 677.9 -106131 53404.3 -136.31 -7.51179 -1948.63
